,Date,Close,Probability,Position,Actual_Return,Strategy_Return,Cumulative_Strategy,Cumulative_Market
0,2024-12-23,23753.44922,1.0,1,-0.001086699077859521,-0.001086699077859521,0.9989133009221405,0.9989133009221405
1,2024-12-24,23727.65039,1.0,1,0.0009498674189671874,0.0009498674189671874,0.9998621361210593,0.9998621361210593
2,2024-12-26,23750.19922,1.0,1,0.0026575452648103237,0.0026575452648103237,1.002519315006371,1.002519315006371
3,2024-12-27,23813.40039,1.0,1,-0.007101000286638737,-0.007101000286638737,0.9954004250631499,0.9954004250631499
4,2024-12-30,23644.90039,1.0,1,-4.212756721244659e-06,-4.212756721244659e-06,0.9953962316833188,0.9953962316833188
5,2024-12-31,23644.80078,1.0,1,0.004140304401516914,0.004140304401516914,0.9995174750826106,0.9995174750826106
6,2025-01-01,23742.90039,1.0,1,0.0185999758541584,0.0185999758541584,1.0181084759849566,1.0181084759849566
7,2025-01-02,24188.65039,1.0,1,-0.007631803397089243,-0.007631803397089243,1.0103384722593292,1.0103384722593292
8,2025-01-03,24004.75,1.0,1,-0.016325129196047783,-0.016325129196047783,0.993844566167958,0.993844566167958
9,2025-01-06,23616.05078,1.0,1,0.0038817436434328556,0.0038817436434328556,0.9977024159952408,0.9977024159952408
10,2025-01-07,23707.90039,1.0,1,-0.0007996805943548679,-0.0007996805943548679,0.9969045727342284,0.9969045727342284
11,2025-01-08,23688.94922,1.0,1,-0.006881216540932655,-0.006881216540932655,0.9900446564985982,0.9900446564985982
12,2025-01-09,23526.5,1.0,1,-0.004046174231916666,-0.004046174231916666,0.9860387633210268,0.9860387633210268
13,2025-01-10,23431.5,1.0,1,-0.014857097528874874,-0.014857097528874874,0.9713890892471151,0.9713890892471151
14,2025-01-13,23085.94922,1.0,1,0.0038952778559178114,0.0038952778559178114,0.9751729196559396,0.9751729196559396
15,2025-01-14,23176.05078,1.0,1,0.0016015972942113876,0.0016015972942113876,0.9767347539654487,0.9767347539654487
16,2025-01-15,23213.19922,1.0,1,0.004238654859364033,0.004238654859364033,0.9808747954766541,0.9808747954766541
17,2025-01-16,23311.80078,1.0,1,-0.004669536836445332,-0.004669536836445332,0.9762945644872351,0.9762945644872351
18,2025-01-17,23203.19922,1.0,1,0.006081952713429928,0.006081952713429928,0.982232341862825,0.982232341862825
19,2025-01-20,23344.75,1.0,1,-0.013806721195578575,-0.013806721195578575,0.9686709337694448,0.9686709337694448
20,2025-01-21,23024.65039,1.0,1,0.005660440307110548,0.005660440307110548,0.9741540377672798,0.9741540377672798
21,2025-01-22,23155.34961,1.0,1,0.0021570001263171434,0.0021570001263171434,0.9762552881497962,0.9762552881497962
22,2025-01-23,23205.34961,1.0,1,-0.004887974355369806,-0.004887974355369806,0.9714833773370258,0.9714833773370258
23,2025-01-24,23092.19922,1.0,1,-0.011456619016826153,-0.011456619016826153,0.960353462401696,0.960353462401696
24,2025-01-27,22829.15039,1.0,1,0.0055955457501113415,0.0055955457501113415,0.9657271641368425,0.9657271641368425
25,2025-01-28,22957.25,1.0,1,0.008926687762141228,0.008926687762141228,0.9743479089945102,0.9743479089945102
26,2025-01-29,23163.09961,1.0,1,0.003723148023709655,0.003723148023709655,0.9779755504862887,0.9779755504862887
27,2025-01-30,23249.5,1.0,1,0.011074194684624672,0.011074194684624672,0.9888058421291769,0.9888058421291769
28,2025-01-31,23508.40039,1.0,1,-0.0011172459926456213,-0.0011172459926456213,0.9877011027645535,0.9877011027645535
29,2025-02-01,23482.15039,1.0,1,-0.005170435644686222,-0.005170435644686222,0.9825942577765238,0.9825942577765238
30,2025-02-03,23361.05078,1.0,1,0.01605965755879879,0.01605965755879879,0.9983743850756568,0.9983743850756568
31,2025-02-04,23739.25,1.0,1,-0.001810845686122775,-0.001810845686122775,0.9965664831273071,0.9965664831273071
32,2025-02-05,23696.30078,1.0,1,-0.003930316306650639,-0.003930316306650639,0.9926496616280104,0.9926496616280104
33,2025-02-06,23603.34961,1.0,1,-0.0018404311267659068,-0.0018404311267659068,0.9908227582927766,0.9908227582927766
34,2025-02-07,23559.94922,1.0,1,-0.007598831783980131,-0.007598831783980131,0.9832936628247705,0.9832936628247705
35,2025-02-10,23381.59961,1.0,1,-0.013338245451450348,-0.013338245451450348,0.9701782505991581,0.9701782505991581
36,2025-02-11,23071.80078,1.0,1,-0.001151451957412064,-0.001151451957412064,0.9690611369534671,0.9690611369534671
37,2025-02-12,23045.25,1.0,1,-0.0006011552759446204,-0.0006011552759446204,0.9684785807382746,0.9684785807382746
38,2025-02-13,23031.40039,1.0,1,-0.0044451309368014336,-0.0044451309368014336,0.9641735666374054,0.9641735666374054
39,2025-02-14,22929.25,1.0,1,0.001318406080827117,0.001318406080827117,0.9654447389306329,0.9654447389306329
40,2025-02-17,22959.5,1.0,1,-0.0006186377140693367,-0.0006186377140693367,0.9648474784042805,0.9648474784042805
41,2025-02-18,22945.30078,1.0,1,-0.0005405787378549576,-0.0005405787378549576,0.9643259023721822,0.9643259023721822
42,2025-02-19,22932.90039,1.0,1,-0.0008615791448391974,-0.0008615791448391974,0.9634950592858701,0.9634950592858701
43,2025-02-20,22913.15039,1.0,1,-0.005130286328494549,-0.005130286328494549,0.9585520537556438,0.9585520537556438
44,2025-02-21,22795.90039,1.0,1,-0.010697116144001484,-0.010697116144001484,0.9482983111065485,0.9482983111065485
45,2025-02-24,22553.34961,1.0,1,-0.0002571491932030767,-0.0002571491932030767,0.9480544569609316,0.9480544569609316
46,2025-02-25,22547.55078,1.0,1,-0.00011088293831562623,-0.00011088293831562623,0.9479493338970606,0.9479493338970606
47,2025-02-27,22545.05078,1.0,1,-0.01882096752524376,-0.01882096752524376,0.9301080102682076,0.9301080102682076
48,2025-02-28,22124.69922,1.0,1,-0.0002440303796902299,-0.0002440303796902299,0.9298810356573088,0.9298810356573088
49,2025-03-03,22119.30078,1.0,1,-0.0016583158867433667,-0.0016583158867433667,0.9283389991630969,0.9283389991630969
50,2025-03-04,22082.65039,1.0,1,0.011465711519122124,0.011465711519122124,0.9389830663194515,0.9389830663194515
51,2025-03-05,22337.30078,1.0,1,0.009242008440196514,0.009242008440196514,0.9476611557435775,0.9476611557435775
52,2025-03-06,22544.69922,1.0,1,0.0003459540894255042,0.0003459540894255042,0.9479890029957967,0.9479890029957967
53,2025-03-07,22552.5,1.0,1,-0.004096583463251591,-0.004096583463251591,0.9441054869227797,0.9441054869227797
54,2025-03-10,22460.30078,1.0,1,0.0016726477770134807,0.0016726477770134807,0.9456846428667474,0.9456846428667474
55,2025-03-11,22497.90039,1.0,1,-0.0012186510721221566,-0.0012186510721221566,0.9445321832628284,0.9445321832628284
56,2025-03-12,22470.5,1.0,1,-0.003267421619966626,-0.003267421619966626,0.9414459983864811,0.9414459983864811
57,2025-03-13,22397.19922,1.0,1,0.004968206398189068,0.004968206398189068,0.9461232964192143,0.9461232964192143
58,2025-03-17,22508.75,1.0,1,0.014359703287482262,0.014359703287482262,0.9597093462291689,0.9597093462291689
59,2025-03-18,22834.30078,1.0,1,0.00320489052683115,0.00320489052683115,0.9627851096214101,0.9627851096214101
60,2025-03-19,22907.59961,1.0,1,0.012280480936169624,0.012280480936169624,0.9746085738057437,0.9746085738057437
61,2025-03-20,23190.65039,1.0,1,0.006864934228360653,0.006864934228360653,0.9812991975633165,0.9812991975633165
62,2025-03-21,23350.40039,1.0,1,0.01310197077691555,0.01310197077691555,0.9941561509732018,0.9941561509732018
63,2025-03-24,23658.34961,1.0,1,0.00043530247057788074,0.00043530247057788074,0.9945889096018606,0.9945889096018606
64,2025-03-25,23668.65039,1.0,1,-0.007710730656981468,-0.007710730656981468,0.9869199024054998,0.9869199024054998
65,2025-03-26,23486.84961,1.0,1,0.004464845638722181,0.004464845638722181,0.9913263474275231,0.9913263474275231
66,2025-03-27,23591.94922,1.0,1,-0.0030820490792393684,-0.0030820490792393684,0.9882710309712084,0.9882710309712084
